ID,Objeto,Primer Detección (ms),Última Detección (ms),Duración Estimada (s)
1,casco,233.3,8998.533333333335,8.765233333333335
2,casco,233.3,3199.5666666666666,2.9662666666666664
3,casco,866.6,4332.666666666666,3.466066666666666
4,casco,3566.1333333333337,4732.6,1.1664666666666668
5,casco,3832.7333333333336,6665.666666666667,2.8329333333333335
6,casco,5432.433333333334,28794.3,23.361866666666664
7,casco,7298.833333333334,7565.433333333334,0.26660000000000034
8,casco,8931.866666666669,10231.733333333334,1.299866666666665
9,casco,9798.433333333334,10931.600000000002,1.133166666666668
10,casco,11231.5,11964.633333333333,0.7331333333333332
11,casco,12197.933333333332,14363.766666666666,2.165833333333334
12,casco,12864.166666666668,17129.8,4.265633333333332
13,casco,14397.1,15630.066666666668,1.2329666666666672
14,casco,14696.966666666667,17096.466666666667,2.3995
15,casco,17596.3,18262.833333333332,0.6665333333333329
16,casco,19063.13333333333,19663.0,0.5998666666666687
17,casco,19862.966666666667,20129.6,0.2666333333333314
17,chaleco,20162.933333333334,20829.466666666667,0.6665333333333329
18,casco,20262.933333333334,22229.2,1.9662666666666664
19,chaleco,20696.133333333335,21162.733333333337,0.4666000000000022
20,casco,21062.733333333334,27761.2,6.6984666666666675
21,casco,21795.933333333334,25095.300000000003,3.2993666666666686
22,casco,23628.933333333334,25061.966666666667,1.433033333333333
23,casco,25861.86666666667,27194.8,1.3329333333333306
24,chaleco,26161.8,27727.966666666667,1.5661666666666678
25,casco,26928.2,27394.8,0.46659999999999857
26,chaleco,29427.200000000004,30960.56666666667,1.533366666666665
27,casco,29527.233333333334,30727.166666666668,1.1999333333333344
28,chaleco,29627.233333333337,30560.433333333334,0.9331999999999971
29,casco,31193.966666666667,34993.53333333333,3.799566666666666
30,chaleco,31460.56666666667,31993.733333333334,0.5331666666666642
31,casco,31493.8,35026.86666666667,3.5330666666666692
32,casco,32926.96666666667,35026.86666666667,2.0999000000000017
33,casco,33626.8,34093.333333333336,0.46653333333333286
34,casco,34793.3,35460.26666666667,0.6669666666666672
35,casco,34960.2,36926.200000000004,1.9660000000000073
36,casco,35693.63333333334,36926.200000000004,1.2325666666666657
37,casco,36992.8,40288.73333333333,3.295933333333327
38,casco,37490.96666666667,38089.46666666667,0.5985
39,casco,38155.966666666674,38422.23333333334,0.26626666666666277
40,casco,40890.0,42157.36666666667,1.2673666666666685
41,casco,42357.333333333336,42623.96666666667,0.2666333333333314
42,casco,51622.13333333334,54287.066666666666,2.664933333333327
43,casco,51622.13333333334,52021.13333333334,0.399
44,casco,51622.13333333334,53187.53333333333,1.5653999999999941
45,casco,52354.13333333334,53254.066666666666,0.899933333333327
45,chaleco,53287.40000000001,53620.86666666667,0.33346666666665986
46,casco,53587.53333333333,54287.066666666666,0.6995333333333329
